election_date,election_year,democratic_vote_share_adj,republican_vote_share_adj,state,state_name,region,electoral_votes,PVI,state_unemployment,state_house_price,state_med_income,state_personal_income,nat_gdp,nat_nonfarm_payroll,nat_ind_production,nat_personal_exp,nat_personal_inc,nat_price_index,stock_market,net_approval,incumbent
11/6/1984,1984,0.387366046,0.612633954,AL,Alabama,South,9,0.097476396,10,0.113103448,17310,42692.358,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.309440874,0.690559126,AK,Alaska,West,3,-0.244659078,9.5,0.604914734,32360,10018.906,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.328832724,0.671167276,AZ,Arizona,West,11,-0.241959967,5.4,0.137636009,21430,39524.39,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.387724119,0.612275881,AR,Arkansas,South,6,0.144736519,8.6,0.111448555,15670,24522.94,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.417754652,0.582245348,CA,California,West,55,-0.072365432,7.4,0.132785826,25290,413355.219,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.356342302,0.643657698,CO,Colorado,West,9,-0.164377463,5.7,0.156276366,25800,46845.754,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.390008312,0.609991688,CT,Connecticut,Northeast,7,-0.022120178,4.7,0.352750191,29950,55880.129,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.400463273,0.599536727,DE,Delaware,South,3,0.069016189,6.1,0.254907486,25820,9046.226,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.861477339,0.138522661,DC,District of Columbia,South,3,0.761817761,8.5,0.065621939,20410,10829.357,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
11/6/1984,1984,0.346675868,0.653324132,FL,Florida,South,29,-0.048072584,6.2,0.162311373,19790,152156.721,0.090289793,0.013903065,0.01821591,0.092322641,0.080495254,0.059604237,0.053518296,-21.82420144,1
